row_number,name,area,status,geometry
37,สายสีเขียวเข้ม,หมอชิต-อ่อนนุช,ปัจจุบัน,"LINESTRING (100.5338471801434 13.75699077262794, 100.53384 13.75697800000006, 100.5320780000001 13.75379200000003, 100.5318150000002 13.75329900000008, 100.531556 13.75179100000003, 100.5313790000001 13.75072900000009, 100.5312370000001 13.75026600000012, 100.5312010000002 13.74995900000016, 100.5308720000001 13.74779000000012, 100.530764 13.74704800000018, 100.530764 13.74686000000008, 100.5308 13.74668900000012, 100.5308550000001 13.74658000000017, 100.530927 13.74645200000003, 100.5310650000001 13.74629400000015, 100.5311950000002 13.74620400000015, 100.5312680000002 13.74616800000018, 100.5313320000001 13.74614600000012, 100.5314530000001 13.74612100000002, 100.5315840000001 13.74610600000005, 100.5342750000002 13.7456390000001, 100.5357880000001 13.74537500000014, 100.537007 13.74514400000004, 100.5384570000001 13.74487800000003, 100.5397790000001 13.74473799999998, 100.539995 13.74468300000007, 100.5407130000001 13.74448899999999, 100.541951 13.74428000000012, 100.543188 13.74408100000016, 100.5446300000002 13.74379900000008, 100.5486990000001 13.74311900000015, 100.5509610000001 13.74267500000019, 100.5517070000001 13.74254200000018, 100.5522980000001 13.74237400000015, 100.5534190000001 13.74188200000015, 100.5554180000001 13.74050800000015, 100.5576360000002 13.73895300000009, 100.5584019999999 13.73842500000006, 100.5591400000001 13.73788300000018, 100.561542 13.73619700000012, 100.5623160000001 13.73564500000009, 100.5630220000001 13.73515900000001, 100.563744 13.73466000000013, 100.5645400000001 13.7341120000001, 100.564919 13.73382800000002, 100.5661760000002 13.7329400000001, 100.5666990000001 13.73256499999997, 100.5671530000001 13.73221300000017, 100.5674310000001 13.732033, 100.5681030000001 13.73158300000011, 100.5684800000002 13.73133500000017, 100.5690630000001 13.73091100000011, 100.5697640000002 13.73044000000004, 100.5704910000001 13.72989500000006, 100.5715300000001 13.72917700000016, 100.5732190000001 13.72798200000005, 100.574958 13.72676900000005, 100.5776170000001 13.72489900000005, 100.5811480000001 13.72240999999997, 100.5841320000001 13.72028699999998, 100.5875760000001 13.71781300000009, 100.591165 13.71525800000012, 100.5920080000002 13.71466800000013, 100.5932140000001 13.71378000000004, 100.5943180000002 13.71301700000015, 100.5954060000001 13.71224699999999, 100.597988 13.71039400000018, 100.5987210000001 13.70984200000015, 100.5989900000002 13.70958000000013, 100.5993010000002 13.70918800000004, 100.5996960000002 13.70843200000019, 100.6010560000001 13.705671)"
24,สายสีชมพู,ปากเกร็ด - มีนบุรี,อนาคต,"LINESTRING (100.542885062573 13.89931506937182, 100.5437774379001 13.90308139227352, 100.5440153840007 13.90481839880789, 100.5439677947805 13.90636504846157, 100.5439915893907 13.90772134123495, 100.5444868345412 13.91099607444414, 100.5453716767739 13.91585909787489, 100.5454140636056 13.91607324342039, 100.5454630355216 13.91628597966461, 100.5455185459191 13.91649710416326, 100.5455805419733 13.9167064160058, 100.5456489646874 13.91691371600666, 100.5457237489489 13.91711880689479, 100.5458048235915 13.91732149350135, 100.5458921114629 13.91752158294551, 100.5459855294982 13.91771888481791, 100.5460849887987 13.91791321136192, 100.5461903947168 13.91810437765232, 100.5463016469461 13.9182922017712, 100.5464186396166 13.91847650498119, 100.5488694844527 13.92180775038946)"
38,สายสีเขียวเข้ม,คูคต-ลำลูกกา,อนาคต,"LINESTRING (100.7144620000002 13.93384500000019, 100.709104 13.93368000000004, 100.7017010000002 13.93350700000013, 100.6980750000002 13.93339600000019, 100.6948000000001 13.93326100000019, 100.6903770000001 13.93307700000008, 100.6850930000001 13.93288200000012, 100.6790180000001 13.93265400000007, 100.6712450000002 13.93233900000013, 100.6641040000002 13.93204000000009, 100.6625190000001 13.93208400000015, 100.6612000000001 13.93212200000011, 100.6499620000001 13.93242000000009)"
5,สายสีส้ม,ดินเเดง - ลำสาลี,อนาคต,"LINESTRING (100.6486470000002 13.76307700000012, 100.6452500000001 13.76268100000004, 100.6438110000001 13.76251600000006, 100.6406870000001 13.762159, 100.6378690000002 13.76183300000002, 100.6348930000001 13.76149300000014, 100.6311710000002 13.76107200000013, 100.6286770000001 13.76079700000014, 100.6240810000001 13.7602710000001, 100.618771 13.75964699999997, 100.618322 13.75950600000004, 100.6179300000001 13.7593500000001, 100.617478 13.75911400000012, 100.6170000000001 13.75879400000014, 100.6165990000001 13.75843100000009, 100.6162770000001 13.75810200000006, 100.6160120000001 13.75783000000013, 100.6158330000002 13.75768300000004, 100.6145159419814 13.7564453635992, 100.6082341649261 13.75016358654369, 100.6058356682322 13.74789833966616, 100.605759637086 13.74786797332302, 100.6056815722464 13.74784330085247, 100.6056018994644 13.74782445681358, 100.6055210532605 13.74781154397821, 100.605439474555 13.74780463277057, 100.6053576082628 13.74780376088308, 100.6052759008674 13.74780893307087, 100.6051947979857 13.74782012112579, 100.6051147419377 13.74783726403026, 100.6050361693342 13.74786026829008, 100.6021808161271 13.74881205269247, 100.5994295587041 13.74976007633461, 100.593162 13.75168000000002, 100.5887010261052 13.75314936050012, 100.5836933558964 13.75459890185851, 100.581884965532 13.7548654014912, 100.5740422620567 13.75555068626096, 100.5738138338002 13.75558875763704, 100.5734711914153 13.75574104314143, 100.5732617988468 13.75595043570996, 100.5731285490304 13.75619789965458, 100.5725574783889 13.75869157478871, 100.5724432642609 13.7598337160714, 100.5725765140772 13.76209896294893, 100.5724622999487 13.76259389083822, 100.572157 13.76305500000007, 100.569396 13.76581100000004, 100.5676320000001 13.76775700000007, 100.5664430000001 13.76924800000018, 100.5653400000002 13.77070700000013, 100.564941 13.77115600000013, 100.5644 13.77160499999997, 100.5637760000001 13.771906, 100.5633270000001 13.77203000000014, 100.5625850000001 13.77212100000003, 100.561858 13.77220300000005, 100.5608380000002 13.77229100000005, 100.5589870000001 13.77245800000003, 100.5570630000001 13.77266600000019, 100.555551 13.77279400000015, 100.5548670000001 13.77280700000011, 100.5540700000001 13.77278900000005, 100.553547 13.77272599999998, 100.5532710000001 13.77265000000011, 100.5529950000001 13.7725190000001, 100.5526700000001 13.77221400000008, 100.552397 13.77184700000009, 100.551815 13.77090400000009, 100.5509000000002 13.76910199999998, 100.5498920000001 13.76723300000009, 100.5483270000001 13.76439999999997, 100.5480570000001 13.76413600000018, 100.5477550000002 13.76403099999999, 100.5472830000002 13.76391100000001, 100.5467150000001 13.76377400000007)"
22,สายสีน้ำตาล,แคราย-ลำสาลี,อนาคต,"LINESTRING (100.5155029670176 13.85998011638952, 100.5265072748289 13.85847309756781, 100.5389642290865 13.85695785679923, 100.5445114496524 13.85628685343858, 100.5447727017998 13.85625787455121, 100.5450344767581 13.85623407682779, 100.5452966717843 13.85621546960857, 100.5454683236923 13.85620146972478, 100.5456392601571 13.85618046736119, 100.5458091956355 13.8561524976015, 100.5459778462564 13.85611760716818, 100.5461449302951 13.85607585434443, 100.5463101686437 13.85602730887683, 100.5464732852775 13.85597205185884, 100.5466340077161 13.8559101755953, 100.5467920674785 13.85584178344828, 100.5469472005316 13.85576698966437, 100.5470991477312 13.85568591918389, 100.547247655255 13.85559870743215, 100.5473924750266 13.85550550009322, 100.5475333651297 13.85540645286659, 100.5519227737242 13.85299843368557, 100.5611346640513 13.84789597608227, 100.566033657001 13.84513032855511, 100.571708688949 13.84191490896336, 100.5757555636002 13.8401751866711, 100.5763248433004 13.83998754554875, 100.5787756881364 13.84039205391969, 100.5805840785008 13.84063000002038, 100.5829873341167 13.84060620541021, 100.5853667951225 13.84079656229068, 100.5885621399951 13.84136721731949, 100.591719956008 13.8418435251333, 100.5919644475195 13.84187682072936, 100.5922097940943 13.84190308390039, 100.5924557934977 13.84192229299814, 100.592702242957 13.84193443218891, 100.5929489393283 13.84193949146657, 100.5931956792644 13.84193746666087, 100.5934422593821 13.84192835944082, 100.59368847643 13.84191217731332, 100.5939341274558 13.84188893361701, 100.594179009974 13.84185864751123, 100.5944229221324 13.84182134396028, 100.5946656628786 13.84177705371278, 100.594907032126 13.84172581327636, 100.5951468309183 13.84166766488758, 100.5953848615938 13.84160265647708, 100.5956209279482 13.8415308416301, 100.5958548353963 13.84145227954229, 100.5960863911325 13.84136703497095, 100.5963154042897 13.8412751781816, 100.6101508596236 13.83365550951794, 100.6106157719695 13.83339611700051, 100.6110777974609 13.83313161669265, 100.6115368799828 13.83286204071896, 100.6119929637778 13.83258742182051, 100.6122438250784 13.83243852440448, 100.6124981388879 13.83229560373083, 100.6127557628376 13.83215873980867, 100.6130165527058 13.83202800925645, 100.6132803624984 13.83190348525908, 100.613547044531 13.83178523752693, 100.6138164495108 13.83167333225683, 100.6140884266211 13.83156783209501, 100.6143628236049 13.83146879610202, 100.6146394868508 13.8313762797197, 100.6149182614786 13.83129033474006, 100.6151989914262 13.83121100927639, 100.6154815195367 13.83113834773626, 100.6157656876467 13.83107239079667, 100.6160513366747 13.83101317538129, 100.6163383067102 13.8309607346398, 100.6166264371031 13.8309150979293, 100.6169155665537 13.83087629079789, 100.617205533203 13.83084433497038, 100.6212728617006 13.83020796081468, 100.6215113867269 13.83016717643448, 100.6217486625468 13.83011966076202, 100.6219844992393 13.83006545182994, 100.6222187080353 13.83000459302831, 100.6224511014687 13.82993713306991, 100.6226814935263 13.82986312595125, 100.6229096997972 13.82978263090933, 100.6231355376198 13.82969571237423, 100.6233588262282 13.82960243991753, 100.6235793868972 13.82950288819667, 100.623797043085 13.82939713689512, 100.6240116205745 13.82928527065866, 100.6242229476129 13.8291673790276, 100.6244308550493 13.82904355636509, 100.6246351764697 13.82891390178167, 100.6248357483306 13.82877851905582, 100.6250324100897 13.828637516551, 100.6278512417431 13.82635286437585, 100.6319328470067 13.82223676644526, 100.6321170780329 13.82205591959316, 100.6323061161105 13.82188010360942, 100.6324998239074 13.82170944622061, 100.6326980606989 13.82154407140571, 100.6329006824703 13.82138409930601, 100.6331075420211 13.82122964613783, 100.6333184890723 13.82108082410813, 100.6335333703753 13.82093774133295, 100.6337520298234 13.82080050175889, 100.6339743085651 13.82066920508759, 100.6342000451197 13.82054394670329, 100.6344290754944 13.82042481760354, 100.6346612333034 13.82031190433312, 100.6348963498891 13.8202052889211, 100.6396470595876 13.82010476938405, 100.6402257445043 13.82001339808136, 100.6409719434757 13.81987634112744, 100.642205456061 13.81961745577001, 100.6426470840237 13.81957177011867, 100.6438044538569 13.81961745577001, 100.6438577308205 13.81961630176651, 100.6439104696651 13.81960866103107, 100.6439618835654 13.81959464755793, 100.6440112054631 13.81957447041798, 100.6440576995112 13.81954843063954, 100.6441006720522 13.81951691671729, 100.6441394819667 13.81948039881615, 100.6449858990768 13.81780346098168, 100.6462410219269 13.81517071904238, 100.6474136203107 13.81242957996363, 100.6474721340181 13.81230165332789, 100.6475369108366 13.81217678122581, 100.6476077918224 13.81205527005778, 100.6476846030537 13.81193741797745, 100.6477671560578 13.8118235141601, 100.6478552482733 13.81171383809311, 100.649549705286 13.81042427651039, 100.6498654169311 13.81014529739809, 100.6499042210489 13.81010632860744, 100.6499377501996 13.81006273821554, 100.6499654590999 13.81001523513093, 100.6499868971215 13.80996459189407, 100.6500017156186 13.80991163211359, 100.6500096735989 13.80985721707195, 100.6500106416419 13.80980223171846, 100.6500046040046 13.80974757027736, 100.6499916588767 13.80969412170517, 100.6499720167841 13.80964275523354, 100.6487994184004 13.80699298745753, 100.6478247911724 13.80515033285457, 100.6477344328415 13.80497465920447, 100.6476481226221 13.80479696169377, 100.647565905815 13.80461733358925, 100.6475292086335 13.80452682343756, 100.6474984853931 13.80443411500647, 100.6474738666054 13.80433960211854, 100.6474554568501 13.80424368626165, 100.6474433343314 13.80414677488341, 100.6474375505453 13.80404927966039, 100.6474381300612 13.80395161474932, 100.6474450704172 13.80385419502776, 100.6474583421311 13.80375743433168, 100.6474778888249 13.80366174369759, 100.6475036274649 13.80356752961635, 100.6475354487142 13.80347519230651, 100.6484812955682 13.80142282311476, 100.6505714141156 13.79697227924942, 100.6524999561566 13.79248017889068, 100.6525409354914 13.79239144642642, 100.6525866659958 13.7923050665847, 100.6526370131105 13.79222129353332, 100.6526651598614 13.79217105963672, 100.6526873513808 13.79211792565117, 100.652703294016 13.79206259468029, 100.6527127768035 13.7920057988997, 100.652715674261 13.79194828986829, 100.6527119480475 13.79189082858318, 100.6527016474705 13.79183417540968, 100.652684908834 13.79177908001964, 100.6526619536348 13.79172627147127, 100.6526330856309 13.79167644856184, 100.6525986868226 13.79163027058067, 100.6525592123976 13.79158834858499, 100.6525151847072 13.79155123731408, 100.6477006546916 13.78416742875697, 100.6443679102231 13.77947499681721, 100.6443325750559 13.77941980610051, 100.6443027023955 13.7793614776048, 100.6442785682835 13.77930055032115, 100.644260395734 13.77923758725501, 100.6442483526724 13.77917317022371, 100.6442425503841 13.77910789448011, 100.6442430424858 13.77904236321208, 100.64424982443 13.77897718196872, 100.6442628335475 13.77891295306468, 100.6442819496261 13.7788502700144, 100.6443069960214 13.77878971204768, 100.6450778541403 13.77595601986724, 100.6451248180721 13.77577472168646, 100.645167368545 13.77559233720661, 100.6452054804972 13.77540897385057, 100.6452322746924 13.77528920131969, 100.645265562624 13.77517106876001, 100.645305245162 13.77505492796518, 100.6453512041336 13.77494112479747, 100.6454033026749 13.77482999815779, 100.6454613856386 13.77472187897648, 100.6455252800563 13.77461708922777, 100.6468501639445 13.77295717723007, 100.6469135358995 13.77287244056077, 100.6469714499037 13.77278388393524, 100.6470236763904 13.77269185838505, 100.647070008338 13.77259672869231, 100.6471102620901 13.77249887194372, 100.6471442780841 13.77239867603584, 100.6471719214832 13.77229653813743, 100.6471930827111 13.77219286311517, 100.6472076778864 13.77208806192881, 100.6472156491549 13.77198255000206, 100.6473222490079 13.76977441018869, 100.6478400197229 13.76669824300035, 100.648022762328 13.76549518751574, 100.6483577904378 13.76426167493037, 100.6486815478336 13.76308051841875)"
23,สายสีแดงเข้ม,บางซื่อ-หัวลำโพง,อนาคต,"LINESTRING (100.5168580000001 13.74240700000007, 100.517997 13.74958800000006, 100.5182830000001 13.75075100000003, 100.522946 13.76227400000003, 100.523212 13.76291100000001, 100.5265110000001 13.77101900000001, 100.5285820000001 13.77615600000007, 100.5320260000001 13.78468900000007, 100.533708 13.78881600000006, 100.5351570000001 13.79237700000003, 100.537216 13.79747700000006, 100.537424 13.79797900000004, 100.539902 13.80384000000003, 100.542555 13.80702400000006, 100.543687 13.80987200000003)"
16,สายสีเขียวอ่อน,ตลิ่งชัน - บางหว้า,อนาคต,"LINESTRING (100.4402600000001 13.78920899999997, 100.4428053 13.77944320000006, 100.4440928000002 13.76989830000008, 100.4445648000001 13.76493800000014, 100.4452085000001 13.75851880000016, 100.4452514000001 13.75751840000015, 100.4453373000001 13.75639290000009, 100.4457664000001 13.75439210000013, 100.4461098000001 13.75201599999997, 100.4473114 13.74847280000012, 100.4476547 13.74688870000011, 100.4479122000002 13.7454714000001, 100.4475689000002 13.74384560000004, 100.4472685000001 13.74284510000007, 100.4471827 13.74051060000016, 100.4472685000001 13.73863470000003, 100.4479122000002 13.73625850000008, 100.4490709000002 13.73388230000012, 100.451045 13.73083900000017, 100.4550791 13.72683689999997, 100.4564953 13.72512760000012, 100.4572248000001 13.72421040000006, 100.458076904494 13.72072542209668)"
18,สายสีแดงเข้ม,มหาชัย - รางโพธิ์,อนาคต,"LINESTRING (100.2609130546652 13.56094414738925, 100.2673100000001 13.56284700000003, 100.2867090000002 13.5687650000001, 100.2904750000001 13.56998800000008, 100.2923920000001 13.5705210000001, 100.2932410000001 13.57071300000018, 100.2939140000002 13.57071800000006, 100.2947630000001 13.57052800000014, 100.2957910000001 13.57016100000016, 100.3006880000001 13.56853600000017, 100.3067150000001 13.5661990000001, 100.3135780000001 13.56433400000014, 100.3148170000001 13.56457200000011, 100.3156730000001 13.56488200000018, 100.3287970000001 13.57675300000005, 100.3355710000001 13.58282200000002, 100.3413770000001 13.58808500000009, 100.3466490000001 13.59278000000012, 100.3524950000001 13.59803700000003, 100.3615310000001 13.6061850000001, 100.3740830000002 13.61773300000004, 100.3924730000001 13.63413500000001, 100.4009730000001 13.64150400000011, 100.4027850000002 13.6430840000001)"
40,สายสีแดงเข้ม,บางซื่อ - รังสิต - ธรรมศาสตร์,อนาคต,"LINESTRING (100.5900990000001 14.06857500000005, 100.590584 14.06554000000005, 100.5906960000001 14.06475200000005, 100.5910880000001 14.06214600000003, 100.5914530000001 14.05985900000005, 100.59166 14.05861100000004, 100.5920060000001 14.05619000000005, 100.5924330000001 14.05342600000004, 100.5928580000001 14.05093700000001, 100.593283 14.04857600000001, 100.5933450000001 14.04826600000006, 100.593867 14.04583900000005, 100.594218 14.04412700000006, 100.594858 14.04125000000005, 100.5953420000001 14.03885300000006, 100.59585 14.03624800000005, 100.5961710000001 14.03472600000001, 100.596912 14.03101800000007, 100.5974870000001 14.02810200000004, 100.599837 14.01021900000005, 100.6034540000001 13.98040500000007, 100.6054980000001 13.96469700000004, 100.6063200000001 13.95719500000006, 100.6065750000001 13.95502600000003, 100.606883 13.95263700000003, 100.6073840000001 13.94847700000002, 100.6076250000001 13.94678300000003, 100.60846 13.93922800000006, 100.6086320000001 13.93756500000006, 100.6086490000001 13.93594300000006, 100.608563 13.93516400000001, 100.608279 13.93345700000003, 100.6080800000001 13.93275100000004, 100.607827 13.93217800000001, 100.6042400000001 13.92575600000002, 100.600301 13.91861500000003, 100.5976750000001 13.91406200000005, 100.5960370000001 13.91091100000004, 100.5958010000001 13.91048200000005, 100.593185 13.90592100000001, 100.587228 13.89544600000003, 100.583351 13.88848000000005, 100.582174 13.88639400000004, 100.5809270000001 13.88419200000004, 100.580561 13.88356800000002, 100.5791820000001 13.88106200000003, 100.577885 13.87877600000006, 100.5762320000001 13.87583600000004, 100.575092 13.87376800000004, 100.5730550000001 13.87006600000005, 100.5703240000001 13.86502500000006, 100.5693750000001 13.86319800000006, 100.5683460000001 13.86128900000004, 100.5674510000001 13.85967400000003, 100.563107 13.85153000000001, 100.5602840000001 13.84633900000004, 100.55893 13.84379500000004, 100.5561070000001 13.83862900000002, 100.554017 13.83459800000002, 100.551448 13.83001500000005, 100.5479290000001 13.82327800000005, 100.546343 13.82013000000006, 100.5446630000001 13.81677900000004, 100.54389 13.81478700000002, 100.543609 13.81352400000002, 100.5434710000001 13.81294400000006, 100.543287 13.81215200000002, 100.543972 13.80989100000004, 100.5428010000001 13.80700000000007)"
33,สายสีแดงเข้ม,รางโพธิ์- หัวลำโพง,อนาคต,"LINESTRING (100.398215 13.63911400000004, 100.4035790000001 13.64375600000005, 100.407384 13.64705500000002, 100.407965 13.64756000000005, 100.418372 13.65684000000003, 100.428542 13.66578700000002, 100.434328 13.67105500000002, 100.4404600000001 13.67649200000003, 100.4444700000001 13.68011300000006, 100.446953 13.68228900000002, 100.448895 13.68396100000006, 100.4489030000001 13.68395300000003, 100.449695 13.68455900000003, 100.45356 13.68772100000005, 100.4561229000001 13.69089120000007, 100.4575160000001 13.69089800000006, 100.4586650000001 13.69340300000004, 100.4600850000001 13.69589000000007, 100.4622540000001 13.69958500000007, 100.4627110000001 13.70029200000005, 100.462883 13.70048200000001, 100.463104 13.70067100000003, 100.4636730000001 13.70114000000006, 100.4640650000001 13.70135800000002, 100.4644420000001 13.70154600000006, 100.4651820000001 13.70183200000003, 100.466056 13.70213300000006, 100.4667800000001 13.70245700000002, 100.467512 13.70295100000002, 100.4679550000001 13.70334600000005, 100.4682520000001 13.70367400000003, 100.4684870000001 13.70397600000006, 100.4688290000001 13.70444900000006, 100.469679 13.70625200000006, 100.4711100000001 13.70924100000007, 100.4719250000001 13.71099500000002)"
42,สายสีส้ม,บางขุนนนท์ - ดินเเดง,อนาคต,"LINESTRING (100.4730227286871 13.76247123032391, 100.474049 13.76186800000004, 100.4749750000001 13.76131100000003, 100.4754060000001 13.76107000000007, 100.4758150000001 13.76095400000002, 100.476253 13.76085800000003, 100.476685 13.76076400000004, 100.4771280000001 13.76074400000004, 100.4777010000001 13.76070200000003, 100.478251 13.76071100000006, 100.4793870000001 13.76068900000006, 100.4805730000001 13.76066700000006, 100.4812660000001 13.76066600000006, 100.482675 13.76067400000004, 100.4835110000001 13.76068400000001, 100.4875990000001 13.76050000000003, 100.4879430000001 13.76048000000002, 100.4907140000001 13.76074700000003, 100.4912530000001 13.76074100000004, 100.4915000000001 13.76069500000005, 100.4917770000001 13.76054400000003, 100.492126 13.76008000000006, 100.492793 13.75924100000003, 100.4929860000001 13.75901200000004, 100.4932460000001 13.75876000000005, 100.4935160000001 13.75853200000005, 100.493589 13.75848600000005, 100.493697 13.75841700000005, 100.4938990000001 13.75830200000008, 100.4940990000001 13.75820600000001, 100.4942070000001 13.75815000000004, 100.4943170000001 13.75809300000001, 100.4945860000001 13.75796700000005, 100.4947700000001 13.75790700000003, 100.494898 13.75787700000006, 100.495132 13.75785500000005, 100.4952910000001 13.75784700000002, 100.495562 13.75783300000005, 100.495774 13.75783100000006, 100.4959880000001 13.75782900000006, 100.496175 13.75781500000003, 100.4963460000001 13.75779000000004, 100.4965120000001 13.75776600000004, 100.497387 13.75759400000003, 100.499025 13.75725600000002, 100.5009040000001 13.75686600000005, 100.5024450000001 13.75655800000003, 100.503224 13.75639800000003, 100.504524 13.75613400000002, 100.5052150000001 13.75599900000002, 100.5052700000001 13.75599500000003, 100.5053040000001 13.75600600000005, 100.5053420000001 13.75602100000001, 100.506088 13.75629300000003, 100.5061890000001 13.75631700000002, 100.506285 13.75632300000005, 100.50637 13.75632400000006, 100.507005 13.75634300000007, 100.5085510000001 13.75639900000004, 100.5096 13.75642600000003, 100.5109980000001 13.75646400000005, 100.5127560000001 13.75650000000006, 100.514369 13.75654300000001, 100.5160880000001 13.75661000000001, 100.5169670000001 13.75668000000006, 100.5190640000001 13.75693300000004, 100.5205300000001 13.75708300000002, 100.520692 13.75709600000004, 100.5208330000001 13.75706600000006, 100.52272 13.75642300000002, 100.523669 13.75610900000003, 100.526079 13.75525000000003, 100.5289120000001 13.75424500000002, 100.531722 13.75325200000003, 100.53477 13.75216300000004, 100.537019 13.75135700000003, 100.53996 13.75032600000002, 100.5402500000001 13.75021200000002, 100.5405190000001 13.75019000000003, 100.54073 13.75025200000003, 100.540907 13.750395, 100.541045 13.75060300000006, 100.541132 13.75081500000004, 100.541649 13.75289800000005, 100.5421020000001 13.75471800000002, 100.5422580000001 13.75523200000002, 100.542355 13.75585900000003, 100.5424780000001 13.75691400000004, 100.542471 13.75835700000004, 100.5424760000001 13.75959500000004, 100.5424990000001 13.76119900000002, 100.5425120000001 13.76187000000004, 100.5425710000001 13.76226600000005, 100.5427180000001 13.76250300000002, 100.5429460000001 13.76264900000006, 100.543797 13.76293500000001, 100.5446600000001 13.76316600000006, 100.546745 13.76377600000005)"
1,Airport Rail Link,พญาไท - สุวรรณภูมิ,ปัจจุบัน,"LINESTRING (100.7541810000001 13.70485700000029, 100.7574910000002 13.71728900000022, 100.7599020000002 13.7247040000002, 100.7600630000002 13.72588900000017, 100.7601260000001 13.72672200000017, 100.7599410000003 13.7274450000001, 100.7596300000003 13.72776900000014, 100.7590290000001 13.72794100000016, 100.7539100000002 13.72795900000023, 100.7391600000002 13.72781000000015, 100.7360570000003 13.72810600000008, 100.7110550000002 13.7308800000003, 100.6899100000002 13.73310000000015, 100.6856120000002 13.73361900000026, 100.6700670000002 13.73523200000017, 100.6579210000002 13.73659300000014, 100.6461820000002 13.73785100000015, 100.6419880000003 13.73831700000011, 100.6354980000001 13.73907000000008, 100.6255380000002 13.74011399999995, 100.6202220000002 13.740793, 100.6114220000002 13.74177600000019, 100.6012280000002 13.74280400000015, 100.5919960000002 13.74395200000026, 100.5747850000002 13.74777200000011, 100.5645800000001 13.75006400000024, 100.5531660000003 13.75265500000023, 100.546362 13.7541350000003, 100.5402810000001 13.75554000000017, 100.5349214395062 13.75672922680644)"
15,สายสีส้ม,ลำสาลี - มีนบุรี,อนาคต,"LINESTRING (100.738118 13.81306700000004, 100.7343650000001 13.81097900000003, 100.732347 13.80987000000004, 100.7299330000001 13.80855300000006, 100.7282200000001 13.80759000000005, 100.7279280000001 13.80741600000004, 100.727673 13.80718400000005, 100.7255180000001 13.80467900000001, 100.7251390000001 13.80426200000004, 100.724286 13.80381300000003, 100.7201120000001 13.80175900000006, 100.7136340000001 13.79879400000004, 100.7113020000001 13.79761800000004, 100.7082 13.79605900000006, 100.705018 13.79446000000006, 100.7022650000001 13.79297000000001, 100.6994240000001 13.79140400000006, 100.6962360000001 13.78963200000003, 100.6931180000001 13.78790400000001, 100.6910030000001 13.78673800000007, 100.689194 13.78573000000003, 100.6863120000001 13.78413600000005, 100.6830260000001 13.78234700000008, 100.67868 13.77994800000004, 100.675734 13.77830800000002, 100.6724350000001 13.77646000000005, 100.6692070000001 13.77470400000003, 100.6659070000001 13.77290300000003, 100.664056 13.77174400000006, 100.662871 13.77098500000004, 100.6620510000001 13.77033800000003, 100.661496 13.76996500000005, 100.6607490000001 13.76946900000007, 100.6588620000001 13.76829400000002, 100.658343 13.76794600000005, 100.6574350000001 13.76738700000004, 100.6562830000001 13.76668000000005, 100.65531 13.76612500000002, 100.653658 13.76521600000006, 100.6520330000001 13.76440100000007, 100.6506960000001 13.76377300000006, 100.650056 13.76349200000002, 100.6495 13.76331000000004, 100.6491080000001 13.76320300000001, 100.648646 13.76307700000005)"
